Rozmery bytu;Dispozice bytu;Cena bytu;Ulice;Obec
61;2+kk;15000;Hybešova;Boskovice
43;1+kk;13900;Otakara Kubína;Boskovice
56;2+kk;17000;Hybešova;Boskovice
60;2+kk;14000;Štefanikova;Boskovice
150;4+1;15000;Masarykovo náměstí;Boskovice
80;2+kk;17000;Svatopluka Čecha;Boskovice
